Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Toyota,SGX,Kijang,1997,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,Jok kulit,Individu,"Banda Raya, Banda Aceh Kota, Aceh D.I.",Rp 65.000.000,
Toyota,G Luxury,Avanza,2014,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,Airbag,Individu,"Aur Birugo Tigo Baleh, Bukittinggi Kota, Sumatra Barat",Rp 142.500.000,
Suzuki,Lain-lain,Wagon R,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,<1.000 cc,Airbag,Individu,"Mulyorejo, Surabaya Kota, Jawa Timur",Rp 87.500.000,
Honda,1.6,Accord,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Kemang, Bogor Kab., Jawa Barat",Rp 17.000.000,
Toyota,1.3,Corolla,1990,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,,Individu,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",Rp 23.000.000,
Daihatsu,TX,Terios,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Setu, Bekasi Kab., Jawa Barat",Rp 145.000.000,
Suzuki,Lain-lain,Carry Pick-up,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.500 - 2.000 cc,,Individu,"Wawo, Bima Kab., Nusa Tenggara Barat",Rp 82.000.000,
Daihatsu,Lain-lain,Ayla,2018,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Kalidoni, Palembang Kota, Sumatra Selatan",Rp 105.000.000,
Toyota,G,Etios,2013,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",Rp 92.000.000,
Chevrolet,Lain-lain,Cruze,2010,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,Sensor Parkir,Individu,"Wiyung, Surabaya Kota, Jawa Timur",Rp 105.000.000,
Toyota,G,Rush,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Driyorejo, Gresik Kab., Jawa Timur",Rp 165.000.000,
Toyota,G,Innova,2009,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),MPV,>2.000 - 3.000 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Tebet, Jakarta Selatan, Jakarta D.K.I.",Rp 122.000.000,
Daihatsu,Adventure R,Terios,2016,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Electric Window', 'GPS', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Pontianak Kota, Pontianak Kota, Kalimantan Barat",Rp 173.000.000,
Toyota,J,Innova,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,"['Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Sukarame, Bandar Lampung Kota, Lampung",Rp 164.000.000,
Suzuki,Lain-lain,Carry,2013,40.000-45.000 km,Bensin,Hitam,Manual,,Pick-up,>1.000 - 1.500 cc,,Individu,"Telukjambe Barat, Karawang Kab., Jawa Barat",Rp 67.000.000,
Toyota,V,Innova,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,,>1.500 - 2.000 cc,"['Airbag', 'Electric Window']",Individu,"Palmerah, Jakarta Barat, Jakarta D.K.I.",Rp 258.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Medan Baru, Medan Kota, Sumatra Utara",Rp 56.000.000,
Daihatsu,1.2 R,Sigra,2018,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Tanah Sereal, Bogor Kota, Jawa Barat",Rp 88.000.000,
Datsun,Panca T Opt,Go+,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Kartoharjo, Madiun Kota, Jawa Timur",Rp 75.000.000,
Geely,1.3,Panda,2011,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Pinang (Penang), Tangerang Kota, Banten",Rp 37.000.000,
Toyota,G,Vios,2013,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Medan Kota, Medan Kota, Sumatra Utara",Rp 150.000.000,
Daihatsu,M 1.0 Sporty,Xenia,2018,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,<1.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window']",Individu,"Antapani (Cicadas), Bandung Kota, Jawa Barat",Rp 107.500.000,
Toyota,G,Avanza,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.500 - 2.000 cc,"['GPS', 'Jok kulit']",Individu,"Wonocolo, Surabaya Kota, Jawa Timur",Rp 132.000.000,
Toyota,Lain-lain,Lain-lain,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sunroof', 'Jok kulit']",Individu,"Sako, Palembang Kota, Sumatra Selatan",Rp 115.000.000,
Toyota,G,Etios,2017,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Compact & City Car,>1.500 - 2.000 cc,"['Sensor Parkir', 'Kamera Belakang', 'Jok kulit', 'GPS', 'Electric Window', 'Bluetooth Audio', 'Airbag']",Individu,"Medan Petisah, Medan Kota, Sumatra Utara",Rp 135.000.000,
Honda,1.6,Accord,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Bojonggede, Bogor Kab., Jawa Barat",Rp 17.000.000,
Honda,VTi-S,Civic,2003,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Classic Car,>1.000 - 1.500 cc,Bluetooth Audio,Individu,"Tingkir, Salatiga Kota, Jawa Tengah",Rp 72.000.000,Bursa Gading Auto Center
Datsun,Panca T Active,Go,2018,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Sintuk/Sintuak Toboh Gadang, Padang Pariaman Kab., Sumatra Barat",Rp 85.000.000,
Suzuki,GL,Ertiga,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Denpasar Timur, Denpasar Kota, Bali",Rp 151.000.000,
Suzuki,Lain-lain,Carry,1990,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,<1.000 cc,Bluetooth Audio,Individu,"Denpasar Utara, Denpasar Kota, Bali",Rp 33.000.000,
Daihatsu,1.2 R,Sigra,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Kamera Belakang', 'Kamera Depan']",Individu,"Senen, Jakarta Pusat, Jakarta D.K.I.",Rp 100.000.000,
Nissan,1.5L,March,2014,40.000-45.000 km,Bensin,Hitam,Manual,,Hatchback,>1.000 - 1.500 cc,"['Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Tanjung Priok, Jakarta Utara, Jakarta D.K.I.",Rp 98.000.000,
Toyota,E,Innova,2005,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Minibus,>1.500 - 2.000 cc,"['Electric Window', 'Jok kulit']",Individu,"Banjarmasin Selatan, Banjarmasin Kota, Kalimantan Selatan",Rp 105.450.000,
Suzuki,GX,Swift,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Tarogong Kaler, Garut Kab., Jawa Barat",Rp 131.000.000,
Toyota,TRD Sportivo,Agya,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Sedan,<1.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Metro Timur, Metro Kota, Lampung",Rp 93.500.000,
Mercedes-Benz,C180,C-Class,1995,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS']",Individu,"Bandung Kidul, Bandung Kota, Jawa Barat",Rp 53.500.000,
Toyota,TRD Sportivo,Agya,2014,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",Rp 90.000.000,
Daihatsu,Xi Sporty,Xenia,2011,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Minibus,>1.000 - 1.500 cc,Electric Window,Individu,"Karawang Timur, Karawang Kab., Jawa Barat",Rp 97.500.000,
Suzuki,GL,Ertiga,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Sensor Parkir', 'Electric Window', 'Airbag', 'Jok kulit']",Individu,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Rp 165.000.000,
Daihatsu,X,Ayla,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,"['Electric Window', 'Sensor Parkir']",Individu,"Pondok Melati, Bekasi Kota, Jawa Barat",Rp 79.000.000,
Suzuki,GL,Ertiga,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Medan Tembung, Medan Kota, Sumatra Utara",Rp 130.000.000,
Toyota,Royal Saloon,Crown,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Sedan,>2.000 - 3.000 cc,,Individu,"Karangploso, Malang Kab., Jawa Timur",Rp 52.000.000,
Toyota,TRD Sportivo,Agya,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Banjar Baru Selatan, Banjarbaru Kota, Kalimantan Selatan",Rp 110.000.000,
Honda,E,Brio,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,Airbag,Individu,"Singaran Pati, Bengkulu Kota, Bengkulu",Rp 120.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Kamera Belakang']",Individu,"Banjarmasin Selatan, Banjarmasin Kota, Kalimantan Selatan",Rp 120.000.000,
Toyota,G,Vios,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.500 - 2.000 cc,Electric Window,Individu,"Pahandut, Palangkaraya Kota, Kalimantan Tengah",Rp 150.000.000,
Toyota,1.5,Limo,2005,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,,Individu,"Krembung, Sidoarjo  Kab., Jawa Timur",Rp 50.000.000,
Nissan,1.5L,March,2014,40.000-45.000 km,Bensin,Hitam,Manual,,Hatchback,>1.000 - 1.500 cc,"['Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Setu, Tangerang Selatan Kota, Banten",Rp 135.000.000,
Toyota,Veloz,Avanza,2012,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Medan Kota, Medan Kota, Sumatra Utara",Rp 130.000.000,
Toyota,Lain-lain,Corolla,1989,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.500 - 2.000 cc,Electric Window,Individu,"Sumedang Utara, Sumedang Kab., Jawa Barat",Rp 29.500.000,
Toyota,G,Innova,2015,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.500 - 2.000 cc,,Individu,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",Rp 187.000.000,
Honda,E,Mobilio,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.500 - 2.000 cc,,Individu,"Sukarame, Bandar Lampung Kota, Lampung",Rp 135.000.000,
Honda,RS,Jazz,2008,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window']",Individu,"Jati, Kudus Kab., Jawa Tengah",Rp 133.000.000,
Toyota,TRD Sportivo Ultimo,Rush,2017,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.500 - 2.000 cc,"['Airbag', 'Electric Window']",Individu,"Blimbing, Malang Kota, Jawa Timur",Rp 198.000.000,
Daihatsu,X 1.3 STD,Xenia,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Sensor Parkir', 'Electric Window']",Individu,"Jatiasih, Bekasi Kota, Jawa Barat",Rp 95.000.000,Bursa Mobil POSH Bekasi
Toyota,TRD Sportivo,Yaris,2014,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Jaten, Karanganyar Kab., Jawa Tengah",Rp 193.000.000,
Daihatsu,M,Xenia,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,<1.000 cc,"['Airbag', 'Electric Window']",Individu,"Balikpapan Timur, Balikpapan Kota, Kalimantan Timur",Rp 126.000.000,
Datsun,Panca T,Go+,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",Rp 62.500.000,
Suzuki,Lain-lain,Wagon R,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Wagon,<1.000 cc,"['Airbag', 'Jok kulit']",Individu,"Semarang Selatan, Semarang Kota, Jawa Tengah",Rp 82.000.000,
Toyota,LSX,Kijang,2002,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Bus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window']",Individu,"Cibeunying Kaler, Bandung Kota, Jawa Barat",Rp 63.000.000,Bursa Otomotif Sunter
Daihatsu,TX,Terios,2013,40.000-45.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Lakarsantri, Surabaya Kota, Jawa Timur",Rp 142.000.000,
Volkswagen,Lain-lain,Kodok,<1986,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Classic Car,>1.000 - 1.500 cc,,Individu,"Medan Kota, Medan Kota, Sumatra Utara",Rp 43.000.000,
Honda,1.5L S,HR-V,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,"['Airbag', 'Jok kulit', 'Sensor Parkir', 'Electric Window']",Individu,"Kuranji, Padang Kota, Sumatra Barat",Rp 220.000.000,
Timor,Lain-lain,DOHC,1997,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,,,Individu,"Rajabasa, Bandar Lampung Kota, Lampung",Rp 28.000.000,
Toyota,G Luxury,Avanza,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Moonroof', 'Sensor Parkir']",Individu,"Bantul, Bantul Kab., Yogyakarta D.I.",Rp 137.500.000,
Honda,2.0 i-VTEC,CR-V,2011,40.000-45.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.500 - 2.000 cc,"['Kamera Belakang', 'Jok kulit', 'Sensor Parkir', 'GPS', 'Bluetooth Audio', 'Electric Window', 'Airbag']",Individu,"Mandau, Bengkalis Kab., Riau",Rp 180.000.000,
Honda,RS,Jazz,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Kamera Belakang', 'Kamera Depan', 'Moonroof', 'Sensor Parkir', 'Sunroof']",Individu,"Tanjung Karang Pusat, Bandar Lampung Kota, Lampung",Rp 198.000.000,
Suzuki,Lain-lain,Carry Pick-up,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Rp 80.000.000,
Mercedes-Benz,E320,E-Class,1995,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Sedan,>3.000 cc,"['Airbag', 'Electric Window', 'Jok kulit']",Individu,"Candisari, Semarang Kota, Jawa Tengah",Rp 46.000.000,
Suzuki,Lain-lain,Carry Pick-up,2014,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.000 - 1.500 cc,,Individu,"Tangerang, Tangerang Kota, Banten",Rp 70.000.000,
Honda,2.0,CR-V,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Medan Kota, Medan Kota, Sumatra Utara",Rp 267.000.000,
Honda,RS,Jazz,2011,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,,Individu,"Magelang Tengah, Magelang Kota, Jawa Tengah",Rp 155.000.000,
Nissan,Lain-lain,Livina,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Electric Window']",Individu,"Sewon, Bantul Kab., Yogyakarta D.I.",Rp 120.000.000,
Suzuki,Lain-lain,Carry,2010,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.000 - 1.500 cc,Jok kulit,Individu,"Ciomas, Bogor Kab., Jawa Barat",Rp 57.000.000,
Daihatsu,M,Ayla,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,<1.000 cc,Electric Window,Individu,"Kandeman, Batang Kab., Jawa Tengah",Rp 78.500.000,
Wuling,S 1.5L,Confero S,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Sambikerep, Surabaya Kota, Jawa Timur",Rp 130.000.000,
Toyota,G,Avanza,2015,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,,Individu,"Medan Denai, Medan Kota, Sumatra Utara",Rp 147.000.000,
Suzuki,Estilo,Karimun,2011,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Classic Car,>1.000 - 1.500 cc,"['Electric Window', 'GPS', 'Jok kulit', 'Sensor Parkir']",Individu,"Parakan Salak, Sukabumi Kab., Jawa Barat",Rp 68.000.000,Bursa Gading Auto Center
Toyota,G,Innova,2012,40.000-45.000 km,Bensin,Hitam,Manual,,MPV,>1.500 - 2.000 cc,"['Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Cimahi Utara, Cimahi Kota, Jawa Barat",Rp 162.000.000,
Nissan,Lain-lain,Grand livina,2014,40.000-45.000 km,Bensin,Hitam,Manual,,MPV,>1.000 - 1.500 cc,"['Electric Window', 'Airbag', 'Sensor Parkir', 'Bluetooth Audio']",Individu,"Kejaksan, Cirebon Kota, Jawa Barat",Rp 128.000.000,
Nissan,Lain-lain,X-Trail,2010,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Sensor Parkir']",Individu,"Cakung, Jakarta Timur, Jakarta D.K.I.",Rp 122.000.000,
Suzuki,GX,Karimun,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,<1.000 cc,,Individu,"Tonjong, Brebes Kab., Jawa Tengah",Rp 81.500.000,
Toyota,G,Vios,2005,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Sako, Palembang Kota, Sumatra Selatan",Rp 65.000.000,
Daihatsu,Pick Up Jumbo 1.3,Espass,2004,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,Jok kulit,Individu,"Karangrejo, Magetan Kab., Jawa Timur",Rp 36.500.000,
Honda,Lain-lain,Maestro,1993,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,>1.500 - 2.000 cc,,Individu,"Dayeuhkolot, Bandung Kab., Jawa Barat",Rp 40.000.000,
Suzuki,GL,Ertiga,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit', 'Sensor Parkir', 'Bluetooth Audio', 'Airbag']",Individu,"Sumur Bandung, Bandung Kota, Jawa Barat",Rp 135.000.000,
Timor,1.6,DOHC,1997,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,Electric Window,Individu,"Karangrejo, Magetan Kab., Jawa Timur",Rp 35.000.000,
Toyota,G,Avanza,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,Jok kulit,Individu,"Sako, Palembang Kota, Sumatra Selatan",Rp 102.500.000,
Toyota,Veloz,Avanza,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,,"['Airbag', 'Bluetooth Audio', 'Jok kulit', 'Kamera Belakang', 'Electric Window', 'Sensor Parkir']",Individu,"Bangli, Kab. Bangli, Bali",Rp 175.000.000,Bursa Otomotif Sunter
