Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Honda,Lain-lain,Civic,1991,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit']",Individu,"Semarang Barat, Semarang Kota, Jawa Tengah",Rp 30.000.000,
Nissan,Lain-lain,Grand livina,2010,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,,Individu,"Sukaraja, Tasikmalaya Kab., Jawa Barat",Rp 90.000.000,
Toyota,Spacio 1.5,Corolla,1991,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,,Individu,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",Rp 55.000.000,
Toyota,G,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,,Individu,"Kedungkandang, Malang Kota, Jawa Timur",Rp 170.000.000,
Suzuki,GL,Ertiga,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Classic Car,>1.000 - 1.500 cc,,Individu,"Wedung, Demak Kab., Jawa Tengah",Rp 117.000.000,
Mitsubishi,Pick Up,L300,<1986,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Kertosono, Nganjuk Kab., Jawa Timur",Rp 25.000.000,
Daihatsu,X 1.3 STD,Xenia,2018,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Medan Denai, Medan Kota, Sumatra Utara",Rp 142.500.000,
Nissan,Lain-lain,Grand livina,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.000 - 1.500 cc,Sensor Parkir,Individu,"Bogor Tengah - Kota, Bogor Kota, Jawa Barat",Rp 110.000.000,
Honda,1.3,Civic,1986,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Coupe,>1.000 - 1.500 cc,Jok kulit,Individu,"Wonoayu, Sidoarjo  Kab., Jawa Timur",Rp 30.000.000,
Daihatsu,X,Ayla,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Electric Window', 'Sensor Parkir', 'Airbag', 'Jok kulit', 'Bluetooth Audio']",Individu,"Sukomanunggal, Surabaya Kota, Jawa Timur",Rp 93.000.000,
Toyota,2.0,Corona,1992,40.000-45.000 km,Bensin,Hitam,Manual,,Sedan,,,Individu,"Kedamaian, Bandar Lampung Kota, Lampung",Rp 28.000.000,
Toyota,G Luxury,Innova,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,"['Jok kulit', 'Bluetooth Audio', 'Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Panyileukan, Bandung Kota, Jawa Barat",Rp 120.000.000,
Toyota,Veloz,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Marpoyan Damai, Pekanbaru Kota, Riau",Rp 181.000.000,
Toyota,V,Innova,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,,>1.500 - 2.000 cc,,Individu,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Rp 180.000.000,
Toyota,Veloz,Avanza,2018,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Marpoyan Damai, Pekanbaru Kota, Riau",Rp 181.000.000,
Honda,RS Limited Edition,Mobilio,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Pondok Gede, Bekasi Kota, Jawa Barat",Rp 147.000.000,
Chevrolet,LT,Spin,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",Rp 92.000.000,
Toyota,TRD Sportivo,Agya,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,,Individu,"Nanggalo, Padang Kota, Sumatra Barat",Rp 100.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.500 - 2.000 cc,Jok kulit,Individu,"Kemuning, Palembang Kota, Sumatra Selatan",Rp 58.000.000,Bursa Mobil DTC
Nissan,Lain-lain,Grand livina,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Blimbing, Malang Kota, Jawa Timur",Rp 135.000.000,
Toyota,G,Innova,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.500 - 2.000 cc,,Individu,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",Rp 190.000.000,
Toyota,G Basic,Avanza,2005,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,Jok kulit,Individu,"Praya, Lombok Tengah Kab., Nusa Tenggara Barat",Rp 85.000.000,
Toyota,V,Sienta,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Kamera Belakang', 'Sensor Parkir']",,"Benda, Tangerang Kota, Banten",Rp 150.000.000,
Toyota,G,Avanza,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Electric Window', 'Sensor Parkir', 'Airbag', 'Jok kulit']",Individu,"Krembangan, Surabaya Kota, Jawa Timur",Rp 135.000.000,
Suzuki,GL,APV,2009,40.000-45.000 km,Bensin,Hitam,Manual,4X2,,,,Individu,"Sukun, Malang Kota, Jawa Timur",Rp 95.000.000,
Toyota,G,Avanza,2011,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit']",Individu,"Cempaka, Banjarbaru Kota, Kalimantan Selatan",Rp 112.000.000,
Chery,Lain-lain,Lain-lain,2002,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Mranggen, Demak Kab., Jawa Tengah",Rp 25.000.000,
Suzuki,GL,Splash,2012,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Depan', 'Sensor Parkir']",Individu,"Mengwi, Kab. Badung, Bali",Rp 92.000.000,
Honda,i-DSI,Jazz,2006,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,"['Sensor Parkir', 'Kamera Belakang', 'Jok kulit', 'Electric Window', 'Bluetooth Audio']",Individu,"Dawe, Kudus Kab., Jawa Tengah",Rp 90.000.000,
Toyota,Lain-lain,Corona,<1986,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Sedan,>1.000 - 1.500 cc,Jok kulit,Individu,"Tampan, Pekanbaru Kota, Riau",Rp 21.500.000,
Toyota,G,Calya,2018,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Medan Selayang, Medan Kota, Sumatra Utara",Rp 140.000.000,
Suzuki,GX,Ertiga,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,Kamera Belakang,Individu,"Semarang Utara, Semarang Kota, Jawa Tengah",Rp 155.000.000,
Toyota,G,Avanza,2008,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Bus,>1.000 - 1.500 cc,,Individu,"Blang Pidie, Aceh Barat Daya Kab., Aceh D.I.",Rp 105.000.000,
Toyota,Spacio 1.5,Corolla,1991,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Ciampea, Bogor Kab., Jawa Barat",Rp 35.000.000,
Suzuki,GX,Ertiga,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,,Individu,"Tanah Sereal, Bogor Kota, Jawa Barat",Rp 119.000.000,
Nissan,2.4 Spirit S1,Terrano,2004,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Jeep,>1.500 - 2.000 cc,Electric Window,Individu,"Gedangan, Sidoarjo  Kab., Jawa Timur",Rp 75.000.000,
Suzuki,1.0,Katana,1986,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Jeep,<1.000 cc,,Individu,"Bangkala Barat, Jenepronto Kab., Sulawesi Selatan",Rp 20.000.000,
Daihatsu,Xi Family,Xenia,2008,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window']",Individu,"Ponorogo, Ponorogo Kab., Jawa Timur",Rp 86.000.000,
Toyota,Lain-lain,Kijang Pick-Up,2005,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.500 - 2.000 cc,,Individu,"Ciracas, Jakarta Timur, Jakarta D.K.I.",Rp 39.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2017,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.500 - 2.000 cc,,Individu,"Balapulang, Tegal Kab., Jawa Tengah",Rp 97.000.000,
Mitsubishi,Lain-lain,T120SS,1995,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Tingkir, Salatiga Kota, Jawa Tengah",Rp 20.000.000,
Daihatsu,R,Xenia,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,,Individu,"Krian, Sidoarjo  Kab., Jawa Timur",Rp 112.000.000,
Daihatsu,X Prestige,Luxio,2015,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Medan Kota, Medan Kota, Sumatra Utara",Rp 132.000.000,
Daihatsu,TX,Terios,2013,40.000-45.000 km,Bensin,Hitam,Manual,,,>1.000 - 1.500 cc,,Individu,"Wonokromo, Surabaya Kota, Jawa Timur",Rp 140.000.000,
Toyota,G,Avanza,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio']",Individu,"Telanaipura, Jambi Kota, Jambi",Rp 145.000.000,
Suzuki,GX,Swift,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,"['Electric Window', 'Sensor Parkir']",Individu,"Gubeng, Surabaya Kota, Jawa Timur",Rp 130.000.000,
Toyota,TRD Sportivo,Yaris,2012,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,,,Individu,"Dolopo, Madiun Kab., Jawa Timur",Rp 144.000.000,
Daihatsu,X,Luxio,2015,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,,Individu,"Bandung Kulon, Bandung Kota, Jawa Barat",Rp 137.500.000,
Chevrolet,LTZ,Spin,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Airbag']",Individu,"Banguntapan, Bantul Kab., Yogyakarta D.I.",Rp 89.000.000,
Honda,S,Mobilio,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,"['Electric Window', 'Sensor Parkir']",Individu,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",Rp 139.000.000,
Suzuki,5 MT,Jimny,2005,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Jeep,>1.000 - 1.500 cc,Jok kulit,Individu,"Sawangan, Depok Kota, Jawa Barat",Rp 165.000.000,
Suzuki,Lain-lain,Forsa,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,<1.000 cc,Bluetooth Audio,Individu,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",Rp 25.000.000,
Suzuki,1.0,Katana,2001,40.000-45.000 km,Bensin,Hitam,Manual,4X4,Jeep,<1.000 cc,,Individu,"Pagedangan, Tangerang Kab., Banten",Rp 100.000.000,
Honda,Satya S,Brio,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,"['Electric Window', 'Airbag']",Individu,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",Rp 103.000.000,
Toyota,TRD Sportivo,Agya,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit']",Individu,"Denpasar Barat, Denpasar Kota, Bali",Rp 95.000.000,
Suzuki,ST,Swift,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,,Individu,"Cepogo, Boyolali Kab., Jawa Tengah",Rp 96.000.000,
Honda,1.7,Civic,2005,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,Airbag,Individu,"Seberang Ulu II, Palembang Kota, Sumatra Selatan",Rp 35.000.000,
Toyota,Veloz,Avanza,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir', 'Sunroof']",Individu,"Denpasar Timur, Denpasar Kota, Bali",Rp 134.900.000,
Suzuki,GX,Ertiga,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Mustika Jaya, Bekasi Kota, Jawa Barat",Rp 150.000.000,
Toyota,TRD Sportivo TRD M/T,Yaris,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",Rp 157.000.000,
Daihatsu,R 1.3 DLX,Xenia,2014,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Bus,>1.000 - 1.500 cc,"['Airbag', 'Sensor Parkir', 'Bluetooth Audio']",Individu,"Semampir, Surabaya Kota, Jawa Timur",Rp 125.000.000,
Suzuki,GX,Wagon R,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Wagon,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Sukomanunggal, Surabaya Kota, Jawa Timur",Rp 82.250.000,
Datsun,Panca T Opt,Go+,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,"['Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Ponorogo, Ponorogo Kab., Jawa Timur",Rp 85.000.000,
Toyota,G,Avanza,2016,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Mulyorejo, Surabaya Kota, Jawa Timur",Rp 165.000.000,
Suzuki,Lain-lain,Carry Pick-up,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,Jok kulit,Individu,"Sako, Palembang Kota, Sumatra Selatan",Rp 75.000.000,
Datsun,Panca T Active,Go,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit']",Individu,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Rp 63.000.000,
BMW,Lain-lain,Lain-lain,1997,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.500 - 2.000 cc,"['Airbag', 'Electric Window', 'Jok kulit']",Individu,"Cimahi Tengah, Cimahi Kota, Jawa Barat",Rp 55.000.000,
Chery,Lain-lain,Lain-lain,1996,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,<1.000 cc,Sunroof,Individu,"Keling, Jepara Kab., Jawa Tengah",Rp 26.500.000,
Toyota,V,Innova,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>2.000 - 3.000 cc,,Individu,"Jombang, Jombang  Kab., Jawa Timur",Rp 158.000.000,
Suzuki,Lain-lain,Carry Pick-up,2014,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Rungkut, Surabaya Kota, Jawa Timur",Rp 67.000.000,
Toyota,Lain-lain,Lain-lain,2006,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,Sensor Parkir,Individu,"Alang-Alang Lebar, Palembang Kota, Sumatra Selatan",Rp 99.000.000,
Daihatsu,X,Xenia,2017,40.000-45.000 km,Bensin,Hitam,Manual,4X2,,>1.000 - 1.500 cc,,Individu,"Wonokromo, Surabaya Kota, Jawa Timur",Rp 145.000.000,
Daihatsu,X 1.3 STD,Xenia,2017,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Medan Area, Medan Kota, Sumatra Utara",Rp 150.000.000,
Toyota,E,Avanza,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit']",Individu,"Alak, Kupang Kota, Nusa Tenggara Timur",Rp 167.000.000,
Toyota,E STD,Calya,2016,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Tegal Barat, Tegal Kota, Jawa Tengah",Rp 97.000.000,
Toyota,G,Avanza,2014,40.000-45.000 km,Bensin,Hitam,Manual,,,>1.000 - 1.500 cc,,Individu,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",Rp 154.000.000,
Honda,Lain-lain,Genio,1993,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,,Individu,"Rancaekek, Bandung Kab., Jawa Barat",Rp 40.000.000,
Toyota,2000,Corona,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Cimanggis, Depok Kota, Jawa Barat",Rp 75.000.000,
Suzuki,Lain-lain,Katana,1989,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Medan Helvetia, Medan Kota, Sumatra Utara",Rp 35.000.000,
Toyota,Q Venturer,Innova,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Jetis, Yogyakarta Kota, Yogyakarta D.I.",Rp 260.000.000,
Toyota,G,Avanza,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio']",Individu,"Bandung Kulon, Bandung Kota, Jawa Barat",Rp 140.000.000,
Toyota,G,Innova,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,"['Jok kulit', 'Kamera Belakang', 'Bluetooth Audio', 'Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Rappocini, Makassar Kota, Sulawesi Selatan",Rp 240.000.000,
Mitsubishi,SL,Lancer,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Classic Car,>1.000 - 1.500 cc,,Individu,"Jatiasih, Bekasi Kota, Jawa Barat",Rp 22.600.000,
Suzuki,GL,Ertiga,2018,40.000-45.000 km,Bensin,Hitam,Manual,,MPV,>1.000 - 1.500 cc,,Individu,"Purwakarta, Purwakarta Kab., Jawa Barat",Rp 155.000.000,
Daihatsu,Adventure R,Terios,2016,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Telukbetung Utara, Bandar Lampung Kota, Lampung",Rp 165.000.000,
Daihatsu,X 1.3 STD,Xenia,2013,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,"['Airbag', 'Jok kulit', 'Sensor Parkir', 'Electric Window']",Individu,"Medan Sunggal, Medan Kota, Sumatra Utara",Rp 112.000.000,
Toyota,G,Calya,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,"['Sensor Parkir', 'Jok kulit', 'Airbag']",Individu,"Gombong, Kebumen Kab., Jawa Tengah",Rp 113.000.000,
Daihatsu,Lain-lain,Espass,1997,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Rp 24.000.000,
Toyota,E,Yaris,2011,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Cimahi Utara, Cimahi Kota, Jawa Barat",Rp 110.000.000,
Daihatsu,D,Sirion,2009,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Jok kulit', 'Sensor Parkir']",Individu,"Pamulang, Tangerang Selatan Kota, Banten",Rp 75.000.000,
Daihatsu,Li Sporty,Xenia,2007,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,<1.000 cc,,Individu,"Gambir, Jakarta Pusat, Jakarta D.K.I.",Rp 70.000.000,
Toyota,Veloz,Avanza,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,"['Kamera Belakang', 'Sensor Parkir', 'Bluetooth Audio', 'Jok kulit']",Individu,"Jombang, Jombang  Kab., Jawa Timur",Rp 153.000.000,
Toyota,G,Avanza,2013,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Bogor Tengah - Kota, Bogor Kota, Jawa Barat",Rp 130.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2017,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.500 - 2.000 cc,,Individu,"Balapulang, Tegal Kab., Jawa Tengah",Rp 97.000.000,
Toyota,G,Vios,2004,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit']",Individu,"Kediri, Tabanan Kab., Bali",Rp 69.000.000,
